year,month,fips,usercnt,tweetcnt,usercnt_all,tweetcnt_all,srb,srb_using_tweet
2018,3,45013,6,6,1633,11117,3.67421922841,0.539713951606
2018,3,45021,1,1,321,1883,3.11526479751,0.531067445566
2018,3,45047,1,1,291,2352,3.43642611684,0.425170068027
2018,3,45003,4,5,893,11220,4.47928331467,0.445632798574
2018,3,45051,28,30,6055,56567,4.62427745665,0.530344547174
2018,3,45077,5,5,1318,11782,3.79362670713,0.424376167034
2018,3,45057,4,4,830,7079,4.81927710843,0.565051560955
2018,3,45067,1,1,86,1413,11.6279069767,0.70771408351
2018,3,45041,7,9,952,12500,7.35294117647,0.72
2018,3,45019,18,19,4832,43305,3.72516556291,0.438748412424
2018,3,45045,16,25,4263,51273,3.7532254281,0.487586058939
2018,3,45079,9,12,3846,29613,2.34009360374,0.405227433897
2018,3,45085,1,1,440,7202,2.27272727273,0.138850319356
2018,3,45073,1,1,426,2638,2.34741784038,0.379075056861
2018,4,45015,4,7,896,8482,4.46428571429,0.825277057298
2018,4,45071,2,5,197,2027,10.152284264,2.46669955599
2018,4,45063,12,14,2472,25698,4.85436893204,0.54478947778
2018,4,45085,2,2,397,6293,5.03778337531,0.317813443509
2018,4,45077,6,7,1400,11787,4.28571428571,0.593874607619
2018,4,45051,26,33,5255,50105,4.94766888677,0.658616904501
2018,4,45003,5,13,957,10488,5.22466039707,1.23951182304
2018,4,45045,20,24,3961,46392,5.04922999243,0.517330574237
2018,4,45059,1,1,206,1161,4.85436893204,0.861326442722
2018,4,45007,4,4,1061,7822,3.77002827521,0.511378164152
2018,4,45079,13,15,3727,27757,3.48806010196,0.540404222358
2018,4,45087,2,2,64,1194,31.25,1.67504187605
2018,4,45013,2,2,1662,11445,1.20336943442,0.174748798602
2018,4,45075,4,4,494,11585,8.0971659919,0.345274061286
2018,4,45083,7,25,1894,28847,3.69588173178,0.86664124519
2018,4,45091,2,2,1376,9765,1.45348837209,0.204813108039
2018,4,45035,4,5,739,7481,5.41271989175,0.668359844941
2018,4,45043,1,1,582,4685,1.71821305842,0.213447171825
2018,4,45019,20,24,4536,40521,4.40917107584,0.592285481602
2018,4,45041,10,13,863,11574,11.5874855156,1.12320718853
2018,4,45067,1,1,76,1237,13.1578947368,0.808407437348
2018,4,45047,2,2,328,2811,6.09756097561,0.71149057275
2018,4,45021,3,8,330,3213,9.09090909091,2.48988484283
2018,4,45057,2,2,887,7115,2.25479143179,0.281096275474
2018,4,45031,1,1,327,4038,3.05810397554,0.247647350173
2018,5,45011,2,3,48,822,41.6666666667,3.6496350365
2018,5,45021,1,1,331,1881,3.02114803625,0.531632110579
2018,5,45085,2,2,369,4576,5.42005420054,0.437062937063
2018,5,45045,17,22,3742,49064,4.54302512026,0.448393934453
2018,5,45007,2,2,976,9399,2.04918032787,0.212788594531
2018,5,45055,1,1,248,2321,4.03225806452,0.430848772081
2018,5,45079,12,14,3220,30001,3.72670807453,0.46665111163
2018,5,45013,3,3,1571,11163,1.90961171229,0.268744961032
2018,5,45087,1,1,72,843,13.8888888889,1.1862396204
2018,5,45075,1,1,380,6366,2.63157894737,0.157084511467
2018,5,45083,10,11,1772,24448,5.64334085779,0.449934554974
2018,5,45035,5,9,694,7767,7.20461095101,1.15874855156
2018,5,45067,1,1,81,1728,12.3456790123,0.578703703704
2018,5,45041,6,7,784,12792,7.65306122449,0.547217010632
2018,5,45019,17,18,4092,42059,4.15444770283,0.427970232293
2018,5,45071,2,2,133,1223,15.037593985,1.63532297629
2018,5,45049,1,1,48,688,20.8333333333,1.45348837209
2018,5,45009,1,1,31,165,32.2580645161,6.06060606061
2018,5,45031,3,3,307,4125,9.77198697068,0.727272727273
2018,5,45057,3,3,922,7783,3.25379609544,0.385455479892
2018,5,45003,4,7,864,12194,4.62962962963,0.574052812859
2018,5,45051,19,23,4757,49836,3.99411393736,0.46151376515
2018,5,45043,1,2,513,6879,1.94931773879,0.29073993313
2018,5,45069,1,2,70,455,14.2857142857,4.3956043956
2018,5,45091,6,7,1322,9855,4.53857791225,0.710299340436
2018,5,45063,7,13,2450,28896,2.85714285714,0.449889258029
2018,5,45015,2,2,869,9864,2.30149597238,0.202757502028
2018,5,45029,1,1,104,581,9.61538461538,1.72117039587
2018,5,45077,3,3,1103,8062,2.71985494107,0.372116100223
2018,5,45033,1,1,101,1087,9.90099009901,0.919963201472
